title,company,location
"Data Scientist / Data Analyst Predictive Analytics und Big Data, wegweisende Beratung (mwd) ""M01679""",IT-Personalberatung Dr. Dienst & Wenzel GmbH & Co. KG,"München, Bayern"
"Data Scientist / Analyst / Python, R, SAS, SPSS, Finanzbranche / bis ca. 85.000 € (mwd)",Vesterling AG,"München, Bayern"
Data Analyst komplexe Fahrplan- & Produktionsdaten (w/m/d),Deutsche Bahn AG,"Mainz, Rheinland-Pfalz"
Data Analyst (w/m/d),Exclusive Associates,"Düsseldorf, Nordrhein-Westfalen"
Data Analyst / Architect (m/w/div.),LEONARDO Personalmanagement,"Münster, Nordrhein-Westfalen"
Sustainability Data Analyst (M/F),Luxembourg Stock Exchange,"Trier, Rheinland-Pfalz"
Sustainability Data Analyst (M/F),Luxembourg Stock Exchange,"Saarbrücken, Saarland"
Senior Data Analyst (w/m/d),Deutsche Bahn AG,"Frankfurt am Main, Hessen"
CRM Data Analyst (m/w/d),LOTTO Hessen GmbH,"Wiesbaden, Hessen"
Data Analyst,direct services Güterloh GmbH - BPG IT,"Güterlsloh, Sachsen"
"Analyst Big Data / Grafana, ElasticSearch, JavaScript / Inhouse (mwd)",Vesterling AG,"München, Bayern"
SOC Analyst,Sogeti Luxembourg SA,Luxembourg
TEST MANAGEMENT OFFICER (M/F),Advanzia Bank SA,Munsbach
(Junior) Developer – Data Warehouse (m/w/d) Entwickler / Analyst Datenbanken in Direktvermittlung,a-team Personalmanagement,"Frankfurt am Main, Hessen"
Digital Marketing Analyst (m/w/d) / Data Management,a-team Personalmanagement,"Schwalbach am Taunus, Hessen"
Data Analyst (m/w/d),Randstad Deutschland GmbH & Co. KG,"Leipzig, Sachsen"
HR IT Business Analyst (w/m/d) für Data Management und Integrationen,Deutsche Bahn AG,"Frankfurt am Main, Hessen"
Data Scientist (m/w/d),FERCHAU GmbH,"Kiel, Schleswig-Holstein"
Data-Scientist (m/w/d),DLR,"Köln, Nordrhein-Westfalen"
Senior Data Scientist Reisendeninformation (w/m/d),Deutsche Bahn AG,"Frankfurt am Main, Hessen"
Data Scientist (m/w/d),HAPEKO,"Mannheim, Baden-Württemberg"
Data Scientist (m/w/d),FERCHAU GmbH,"Bielefeld, Nordrhein-Westfalen"
Senior Data Scientist (m/w/d),Exclusive Associates,"Dortmund, Nordrhein-Westfalen"
Wirtschaftsinformatiker (m/w/d) als Datenanalyst  im Business Intelligence-Umfeld,Energieversorgung Offenbach AG,"Offenbach am Main, Hessen"
Big Data Engineer / Data Scientist (m/w/d),saracus consulting GmbH,"Münster, Nordrhein-Westfalen"
Data-Scientist Grundsätze Produktionsprogrammsteuerung (w/m/d),Deutsche Bahn AG,"Krefeld, Nordrhein-Westfalen"
(Junior) Customer Data Scientist (m/w/d),msg systems ag,"Ingolstadt, Bayern"
